EPISODE,TITLE,RELEASE_DATE,Apple frame,Aurora borealis,Barn,Beach,Boat,Bridge,Building,Bushes,Cabin,Cactus,Circle frame,Cirrus clouds,Cliff,Clouds,Coniferous tree,Cumulis clouds,Decidious tree,Diane andre,Dock,Double oval frame,Farm,Fence,Fire,Florida frame,Flowers,Fog,Framed,Grass,Guest,Half circle frame,Half oval frame,Hills,Lake,Lakes,Lighthouse,Mill,Moon,At least one mountain,At least two mountains,Nighttime,Ocean,Oval frame,Palm trees,Path,Person,Portrait,Rectangle 3d frame,Rectangular frame,River or stream,Rocks,Seashell frame,Snow,Snow-covered mountain,Split frame,Steve ross,Man-made structure,Sun,Tomb frame,At least one tree,At least two trees,Triple frame,Waterfall,Waves,Windmill,Window frame,Winter setting,Wood framed,painting_index,season,episode,num_colors,youtube_src,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,alizarin crimson,bright red,burnt umber,cadmium yellow,dark sienna,indian yellow,indian red,liquid black,liquid clear,black gesso,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,img_url,week_number,year
S01E01,"""A WALK IN THE WOODS""",1/11/83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,282,1,1,8,https://www.youtube.com/embed/oh5p5f5_-7A,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.448945854,0.545205316,0,0.538631308,0,0,0,0,0,0,0,0,0.322914569,0.335426022,0.291454332,0.341763645,0.301477801,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting282.png,2,1983
S01E02,"""MT. MCKINLEY""",1/11/83,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,283,1,2,8,https://www.youtube.com/embed/RInDWhYceLU,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.264227302,0.304349147,0,0.294521752,0,0,0,0,0,0,0,0,0.264535571,0.333042981,0.205641964,0.571301302,0.223014773,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting283.png,2,1983
S01E03,"""EBONY SUNSET""",1/18/83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,284,1,3,9,https://www.youtube.com/embed/UOziR7PoVco,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.637743124,0.488788513,0,0.33704969,0,0,0,0,0,0.618301991,0,0,0.609189545,0.226244053,0.744489461,0.047931563,0.718767654,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting284.png,3,1983
S01E04,"""WINTER MIST""",1/25/83,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,285,1,4,3,https://www.youtube.com/embed/0pwoixRikn4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489282986,0,0.481239861,0.269215471,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting285.png,4,1983
S01E05,"""QUIET STREAM""",2/1/83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,286,1,5,8,https://www.youtube.com/embed/DFSIQNjKRfk,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.371124949,0.423377903,0,0.393035544,0,0,0,0,0,0,0,0,0.330330606,0.364584626,0.267708487,0.341427508,0.286461715,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting286.png,5,1983
S01E06,"""WINTER MOON""",2/8/83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,287,1,6,4,https://www.youtube.com/embed/loAzRUzx1wI,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.321860398,0,0,0,0.45496117,0,0.382906243,0.3510532,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting287.png,6,1983
S01E07,"""AUTUMN MOUNTAINS""",2/15/83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,288,1,7,8,https://www.youtube.com/embed/sDdpc8uisD0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.30574184,0.371401952,0,0.367550304,0,0,0,0,0,0,0,0,0.254168354,0.360540636,0.205003308,0.555759236,0.219131704,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting288.png,7,1983
S01E08,"""PEACEFUL VALLEY""",2/22/83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,289,1,8,8,https://www.youtube.com/embed/kQlFwTOkYzg,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.307843751,0.345220271,0,0.317013947,0,0,0,0,0,0,0,0,0.349497757,0.419738168,0.262597668,0.459935979,0.288606748,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting289.png,8,1983
S01E09,"""SEASCAPE""",3/1/83,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,1,9,8,https://www.youtube.com/embed/QxcS7p1VHyQ,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.339262897,0.44993361,0,0.463285351,0,0,0,0,0,0,0,0,0.279637455,0.462329642,0.202558115,0.504802984,0.222729996,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting290.png,9,1983
S01E10,"""MOUNTAIN LAKE""",3/8/83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,291,1,10,8,https://www.youtube.com/embed/wDnLlywAL5I,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.280189873,0.32979715,0,0.318913498,0,0,0,0,0,0,0,0,0.287371668,0.39109712,0.216670631,0.542974239,0.237524554,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting291.png,10,1983
